Organ_system	Subcategory	ICD10Code	ICD10Description
endocrine	diabetes	E08.3413	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E08.3419	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E08.3491	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E08.3492	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E08.3493	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E08.3499	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E08.3511	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E08.3512	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E08.3513	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E08.3519	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E08.3521	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye
endocrine	diabetes	E08.3522	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye
endocrine	diabetes	E08.3523	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral
endocrine	diabetes	E08.3529	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye
endocrine	diabetes	E08.3531	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye
endocrine	diabetes	E08.3532	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye
endocrine	diabetes	E08.3533	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral
endocrine	diabetes	E08.3539	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye
endocrine	diabetes	E08.3541	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye
endocrine	diabetes	E08.3542	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye
endocrine	diabetes	E08.3543	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral
endocrine	diabetes	E08.3549	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye
endocrine	diabetes	E08.3551	Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye
endocrine	diabetes	E08.3552	Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye
endocrine	diabetes	E08.3553	Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral
endocrine	diabetes	E08.3559	Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye
endocrine	diabetes	E08.3591	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E08.3592	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E08.3593	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E08.3599	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E08.36	Diabetes mellitus due to underlying condition with diabetic cataract
endocrine	diabetes	E08.37X1	Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye
endocrine	diabetes	E08.37X2	Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye
endocrine	diabetes	E08.37X3	Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral
endocrine	diabetes	E08.37X9	Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye
endocrine	diabetes	E08.39	Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication
endocrine	diabetes	E08.40	Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified
endocrine	diabetes	E08.41	Diabetes mellitus due to underlying condition with diabetic mononeuropathy
endocrine	diabetes	E08.42	Diabetes mellitus due to underlying condition with diabetic polyneuropathy
endocrine	diabetes	E08.43	Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy
endocrine	diabetes	E08.44	Diabetes mellitus due to underlying condition with diabetic amyotrophy
endocrine	diabetes	E08.49	Diabetes mellitus due to underlying condition with other diabetic neurological complication
endocrine	diabetes	E08.51	Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene
endocrine	diabetes	E08.52	Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene
endocrine	diabetes	E08.59	Diabetes mellitus due to underlying condition with other circulatory complications
endocrine	diabetes	E08.610	Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy
endocrine	diabetes	E08.618	Diabetes mellitus due to underlying condition with other diabetic arthropathy
endocrine	diabetes	E08.620	Diabetes mellitus due to underlying condition with diabetic dermatitis
endocrine	diabetes	E08.621	Diabetes mellitus due to underlying condition with foot ulcer
endocrine	diabetes	E08.622	Diabetes mellitus due to underlying condition with other skin ulcer
endocrine	diabetes	E08.628	Diabetes mellitus due to underlying condition with other skin complications
endocrine	diabetes	E08.630	Diabetes mellitus due to underlying condition with periodontal disease
endocrine	diabetes	E08.638	Diabetes mellitus due to underlying condition with other oral complications
endocrine	diabetes	E08.641	Diabetes mellitus due to underlying condition with hypoglycemia with coma
endocrine	diabetes	E08.649	Diabetes mellitus due to underlying condition with hypoglycemia without coma
endocrine	diabetes	E08.65	Diabetes mellitus due to underlying condition with hyperglycemia
endocrine	diabetes	E08.69	Diabetes mellitus due to underlying condition with other specified complication
endocrine	diabetes	E08.8	Diabetes mellitus due to underlying condition with unspecified complications
endocrine	diabetes	E08.9	Diabetes mellitus due to underlying condition without complications
endocrine	diabetes	E09.00	Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
endocrine	diabetes	E09.01	Drug or chemical induced diabetes mellitus with hyperosmolarity with coma
endocrine	diabetes	E09.10	Drug or chemical induced diabetes mellitus with ketoacidosis without coma
endocrine	diabetes	E09.11	Drug or chemical induced diabetes mellitus with ketoacidosis with coma
endocrine	diabetes	E09.21	Drug or chemical induced diabetes mellitus with diabetic nephropathy
endocrine	diabetes	E09.22	Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease
endocrine	diabetes	E09.29	Drug or chemical induced diabetes mellitus with other diabetic kidney complication
endocrine	diabetes	E09.311	Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema
endocrine	diabetes	E09.319	Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema
endocrine	diabetes	E09.3211	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E09.3212	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E09.3213	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E09.3219	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E09.3291	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E09.3292	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E09.3293	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E09.3299	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E09.3311	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E09.3312	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E09.3313	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E09.3319	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E09.3391	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E09.3392	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E09.3393	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E09.3399	Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E09.3411	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E09.3412	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E09.3413	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E09.3419	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E09.3493	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E09.3499	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E09.3511	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E09.3512	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E09.3513	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E09.3519	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E09.3522	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye
endocrine	diabetes	E09.3533	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral
endocrine	diabetes	E09.3541	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye
endocrine	diabetes	E09.3542	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye
endocrine	diabetes	E09.3551	Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, right eye
endocrine	diabetes	E09.3552	Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, left eye
endocrine	diabetes	E09.3553	Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, bilateral
endocrine	diabetes	E09.3559	Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye
endocrine	diabetes	E09.3591	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E09.3592	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E09.3593	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E09.3599	Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E09.36	Drug or chemical induced diabetes mellitus with diabetic cataract
endocrine	diabetes	E09.37X1	Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, right eye
endocrine	diabetes	E09.37X2	Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, left eye
endocrine	diabetes	E09.37X3	Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral
endocrine	diabetes	E09.39	Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication
endocrine	diabetes	E09.40	Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified
endocrine	diabetes	E09.41	Drug or chemical induced diabetes mellitus with neurological complications with diabetic mononeuropathy
endocrine	diabetes	E09.42	Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy
endocrine	diabetes	E09.43	Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy
endocrine	diabetes	E09.44	Drug or chemical induced diabetes mellitus with neurological complications with diabetic amyotrophy
endocrine	diabetes	E09.49	Drug or chemical induced diabetes mellitus with neurological complications with other diabetic neurological complication
endocrine	diabetes	E09.51	Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene
endocrine	diabetes	E09.52	Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene
endocrine	diabetes	E09.59	Drug or chemical induced diabetes mellitus with other circulatory complications
endocrine	diabetes	E09.610	Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy
endocrine	diabetes	E09.618	Drug or chemical induced diabetes mellitus with other diabetic arthropathy
endocrine	diabetes	E09.620	Drug or chemical induced diabetes mellitus with diabetic dermatitis
endocrine	diabetes	E09.621	Drug or chemical induced diabetes mellitus with foot ulcer
endocrine	diabetes	E09.622	Drug or chemical induced diabetes mellitus with other skin ulcer
endocrine	diabetes	E09.628	Drug or chemical induced diabetes mellitus with other skin complications
endocrine	diabetes	E09.630	Drug or chemical induced diabetes mellitus with periodontal disease
endocrine	diabetes	E09.638	Drug or chemical induced diabetes mellitus with other oral complications
endocrine	diabetes	E09.641	Drug or chemical induced diabetes mellitus with hypoglycemia with coma
endocrine	diabetes	E09.649	Drug or chemical induced diabetes mellitus with hypoglycemia without coma
endocrine	diabetes	E09.65	Drug or chemical induced diabetes mellitus with hyperglycemia
endocrine	diabetes	E09.69	Drug or chemical induced diabetes mellitus with other specified complication
endocrine	diabetes	E09.8	Drug or chemical induced diabetes mellitus with unspecified complications
endocrine	diabetes	E09.9	Drug or chemical induced diabetes mellitus without complications
endocrine	diabetes	E10.10	Type 1 diabetes mellitus with ketoacidosis without coma
endocrine	diabetes	E10.11	Type 1 diabetes mellitus with ketoacidosis with coma
endocrine	diabetes	E10.21	Type 1 diabetes mellitus with diabetic nephropathy
endocrine	diabetes	E10.22	Type 1 diabetes mellitus with diabetic chronic kidney disease
endocrine	diabetes	E10.29	Type 1 diabetes mellitus with other diabetic kidney complication
endocrine	diabetes	E10.311	Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema
endocrine	diabetes	E10.319	Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema
endocrine	diabetes	E10.3211	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E10.3212	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E10.3213	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E10.3219	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E10.3291	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E10.3292	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E10.3293	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E10.3299	Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E10.3311	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E10.3312	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E10.3313	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E10.3319	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E10.3391	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E10.3392	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E10.3393	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E10.3399	Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E10.3411	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E10.3412	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E10.3413	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E10.3419	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E10.3491	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E10.3492	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E10.3493	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E10.3499	Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E10.3511	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E10.3512	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E10.3513	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E10.3519	Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E10.3521	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye
endocrine	diabetes	E10.3522	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye
endocrine	diabetes	E10.3523	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral
endocrine	diabetes	E10.3529	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye
endocrine	diabetes	E10.3531	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye
endocrine	diabetes	E10.3532	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye
endocrine	diabetes	E10.3533	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral
endocrine	diabetes	E10.3539	Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye
endocrine	diabetes	E10.3541	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye
endocrine	diabetes	E10.3542	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye
endocrine	diabetes	E10.3543	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral
endocrine	diabetes	E10.3549	Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye
endocrine	diabetes	E10.3551	Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye
endocrine	diabetes	E10.3552	Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye
endocrine	diabetes	E10.3553	Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral
endocrine	diabetes	E10.3559	Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye
endocrine	diabetes	E10.3591	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E10.3592	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E10.3593	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E10.3599	Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E10.36	Type 1 diabetes mellitus with diabetic cataract
endocrine	diabetes	E10.37X1	Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye
endocrine	diabetes	E10.37X2	Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye
endocrine	diabetes	E10.37X3	Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral
endocrine	diabetes	E10.37X9	Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye
endocrine	diabetes	E10.39	Type 1 diabetes mellitus with other diabetic ophthalmic complication
endocrine	diabetes	E10.40	Type 1 diabetes mellitus with diabetic neuropathy, unspecified
endocrine	diabetes	E10.41	Type 1 diabetes mellitus with diabetic mononeuropathy
endocrine	diabetes	E10.42	Type 1 diabetes mellitus with diabetic polyneuropathy
endocrine	diabetes	E10.43	Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy
endocrine	diabetes	E10.44	Type 1 diabetes mellitus with diabetic amyotrophy
endocrine	diabetes	E10.49	Type 1 diabetes mellitus with other diabetic neurological complication
endocrine	diabetes	E10.51	Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
endocrine	diabetes	E10.52	Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene
endocrine	diabetes	E10.59	Type 1 diabetes mellitus with other circulatory complications
endocrine	diabetes	E10.610	Type 1 diabetes mellitus with diabetic neuropathic arthropathy
endocrine	diabetes	E10.618	Type 1 diabetes mellitus with other diabetic arthropathy
endocrine	diabetes	E10.620	Type 1 diabetes mellitus with diabetic dermatitis
endocrine	diabetes	E10.621	Type 1 diabetes mellitus with foot ulcer
endocrine	diabetes	E10.622	Type 1 diabetes mellitus with other skin ulcer
endocrine	diabetes	E10.628	Type 1 diabetes mellitus with other skin complications
endocrine	diabetes	E10.630	Type 1 diabetes mellitus with periodontal disease
endocrine	diabetes	E10.638	Type 1 diabetes mellitus with other oral complications
endocrine	diabetes	E10.641	Type 1 diabetes mellitus with hypoglycemia with coma
endocrine	diabetes	E10.649	Type 1 diabetes mellitus with hypoglycemia without coma
endocrine	diabetes	E10.65	Type 1 diabetes mellitus with hyperglycemia
endocrine	diabetes	E10.69	Type 1 diabetes mellitus with other specified complication
endocrine	diabetes	E10.8	Type 1 diabetes mellitus with unspecified complications
endocrine	diabetes	E10.9	Type 1 diabetes mellitus without complications
endocrine	diabetes	E11.00	Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
endocrine	diabetes	E11.01	Type 2 diabetes mellitus with hyperosmolarity with coma
endocrine	diabetes	E11.10	Type 2 diabetes mellitus with ketoacidosis without coma
endocrine	diabetes	E11.11	Type 2 diabetes mellitus with ketoacidosis with coma
endocrine	diabetes	E11.21	Type 2 diabetes mellitus with diabetic nephropathy
endocrine	diabetes	E11.22	Type 2 diabetes mellitus with diabetic chronic kidney disease
endocrine	diabetes	E11.29	Type 2 diabetes mellitus with other diabetic kidney complication
endocrine	diabetes	E11.311	Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema
endocrine	diabetes	E11.319	Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema
endocrine	diabetes	E11.321	Type 2 Diabetes Mellitus with Mild Nonproliferative Diabetic Retinopathy with Macular Edema
endocrine	diabetes	E11.3211	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E11.3212	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E11.3213	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E11.3219	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E11.329	Type 2 Diabetes Mellitus with Mild Nonproliferative Diabetic Retinopathy without Macular Edema
endocrine	diabetes	E11.3291	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E11.3292	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E11.3293	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E11.3299	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E11.3311	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E11.3312	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E11.3313	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E11.3319	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E11.339	Type 2 Diabetes Mellitus with Moderate Nonproliferative Diabetic Retinopathy without Macular Edema
endocrine	diabetes	E11.3391	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E11.3392	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E11.3393	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E11.3399	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E11.341	Type 2 Diabetes Mellitus with Severe Nonproliferative Diabetic Retinopathy with Macular Edema
endocrine	diabetes	E11.3411	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E11.3412	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E11.3413	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E11.3419	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E11.3491	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E11.3492	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E11.3493	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E11.3499	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E11.351	Type 2 Diabetes Mellitus with Proliferative Diabetic Retinopathy with Macular Edema
endocrine	diabetes	E11.3511	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E11.3512	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E11.3513	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E11.3519	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye
